date,Case_Temperature,inputpower
2022-01-07 01:08:31,33.2,3.8904
2022-01-07 01:08:32,33.2,5.5012
2022-01-07 01:08:33,33.2,5.5012
2022-01-07 01:08:34,33.2,5.5012
2022-01-07 01:08:35,33.0,6.484
2022-01-07 01:08:36,33.0,6.484
2022-01-07 01:08:37,33.0,6.484
2022-01-07 01:08:38,33.2,4.2133
2022-01-07 01:08:39,33.2,4.2133
2022-01-07 01:08:40,33.2,4.2133
2022-01-07 01:08:41,33.2,5.1792
2022-01-07 01:08:42,33.2,5.1792
2022-01-07 01:08:43,33.2,5.1792
2022-01-07 01:08:44,33.2,3.5618
2022-01-07 01:08:45,33.2,3.5618
2022-01-07 01:08:46,33.2,3.5618
2022-01-07 01:08:47,33.2,3.8856
2022-01-07 01:08:48,33.2,3.8856
2022-01-07 01:08:49,33.2,3.8856
2022-01-07 01:08:50,33.3,3.238
2022-01-07 01:08:51,33.1,3.5684
2022-01-07 01:08:52,33.1,3.5684
2022-01-07 01:08:53,33.1,3.5684
2022-01-07 01:08:54,33.2,5.1792
2022-01-07 01:08:55,33.2,5.1792
2022-01-07 01:08:56,33.2,5.1792
2022-01-07 01:08:57,33.2,5.184
2022-01-07 01:08:58,33.2,5.184
2022-01-07 01:08:59,33.2,5.184
2022-01-07 01:09:00,33.2,4.2081
2022-01-07 01:09:01,33.2,4.2081
2022-01-07 01:09:02,33.2,4.2081
2022-01-07 01:09:03,33.1,5.5046
2022-01-07 01:09:04,33.1,5.5046
2022-01-07 01:09:05,33.1,5.5046
2022-01-07 01:09:06,33.0,4.5388
2022-01-07 01:09:07,33.0,4.5388
2022-01-07 01:09:08,33.0,4.5388
2022-01-07 01:09:09,33.2,5.5029
2022-01-07 01:09:10,33.2,5.5029
2022-01-07 01:09:11,33.2,5.5029
2022-01-07 01:09:12,33.1,5.1872
2022-01-07 01:09:13,33.1,5.1872
2022-01-07 01:09:14,33.1,5.1872
2022-01-07 01:09:15,33.2,5.1856
2022-01-07 01:09:16,33.2,5.1856
2022-01-07 01:09:17,33.2,5.1856
2022-01-07 01:09:18,33.1,5.1808
2022-01-07 01:09:19,33.1,5.1808
2022-01-07 01:09:20,33.1,5.1808
2022-01-07 01:09:21,33.1,2.916
2022-01-07 01:09:22,33.1,2.916
2022-01-07 01:09:23,33.1,2.916
2022-01-07 01:09:24,33.1,5.8266
2022-01-07 01:09:25,33.1,5.8266
2022-01-07 01:09:26,33.1,5.8266
2022-01-07 01:09:27,33.1,4.5346
2022-01-07 01:09:28,33.1,4.5346
2022-01-07 01:09:29,33.1,4.5346
2022-01-07 01:09:30,33.1,3.8856
2022-01-07 01:09:31,33.1,3.8856
2022-01-07 01:09:32,33.1,3.8856
2022-01-07 01:09:33,33.2,6.804
2022-01-07 01:09:34,33.2,6.804
2022-01-07 01:09:35,33.2,6.804
2022-01-07 01:09:36,33.2,6.1579
2022-01-07 01:09:37,33.2,6.1579
2022-01-07 01:09:38,33.2,6.1579
2022-01-07 01:09:39,33.1,6.1579
2022-01-07 01:09:40,33.1,6.1579
2022-01-07 01:09:41,33.1,6.1579
2022-01-07 01:09:42,33.3,6.1598
2022-01-07 01:09:43,33.3,6.1598
2022-01-07 01:09:44,33.3,6.1598
